C,Si,Mn,P,S,Alt,Cr,Cu,V,Nb,Mo,Ti,ModelCalculatedValue,TheoreticalSlabThickness,TheoreticalSlabWidth,TimeinFurnace(min),ActualExitTemperature,ActualRollingStartTemperature,ActualStartAfterTemperatureControl,ActualFinalRollingThickness,ActualFinalRollingTemperature,ActualTemperatureBeforeCooling,Thickness,TemperatureAfterCooling,YieldStrength,TensileStrength,Elongation,Toughness
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,799,180,1400,292.25,1218,1216,50.0,20.47,786.44,801,20.0,640,375,510,31.5,118.33333333333333
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,871,220,1600,266.85,1223,1194,120.01,60.54,814.59,787,60.0,630,400,535,31.5,182.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,805,250,2000,265.85,1223,1188,50.01,16.5,809.48,750,16.0,640,380,520,33.5,152.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,811,220,1800,255.7333333333333,1210,1215,50.0,20.08,795.93,762,20.0,640,400,545,27.5,153.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,809,220,1800,210.1833333333333,1232,1219,50.0,20.22,792.43,762,20.0,640,390,535,30.0,150.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,836,180,1400,289.5166666666667,1230,1214,40.0,16.42,827.46,757,16.0,640,370,515,30.0,211.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,829,220,1800,289.8666666666667,1205,1168,50.03,20.54,794.25,761,20.0,640,410,535,30.5,177.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,814,180,1400,291.8666666666667,1196,1154,50.03,20.16,811.75,763,20.0,640,375,510,30.5,206.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,853,250,2000,224.4666666666667,1201,1206,100.01,60.09,780.85,775,60.0,630,405,555,28.5,177.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,798,250,2000,110.6,1214,1207,50.0,20.08,776.63,756,20.0,640,380,530,25.0,204.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,867,300,2000,204.5,1200,1200,150.01,80.1,811.18,786,80.0,630,365,510,28.5,245.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,873,300,2400,213.3833333333333,1203,1198,150.03,80.4,759.33,780,80.0,630,360,525,29.5,192.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,874,300,2400,217.0,1205,1203,150.0,80.41,769.77,784,80.0,630,375,525,26.5,151.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,790,220,1800,277.7833333333334,1232,1229,50.0,20.46,791.98,761,20.0,640,390,525,27.5,163.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,825,180,1800,283.8166666666667,1232,1222,40.01,16.42,801.76,757,16.0,640,405,530,25.5,152.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,863,250,2400,275.6333333333333,1217,1231,120.0,60.31,799.48,776,60.0,630,410,570,24.5,152.33333333333334
0.16,0.28,1.46,0.01,0.003,0.034,0.02,0.01,0.002,0.004,0.002,0.003,850,300,2400,386.0166666666667,1207,1228,150.02,80.56,802.66,778,80.0,630,390,550,26.0,150.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,817,250,2000,316.0333333333334,1227,1233,50.0,20.23,794.67,755,20.0,640,390,525,27.0,134.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,783,180,1400,77.73333333333333,1210,1193,50.0,20.36,776.2,762,20.0,640,400,540,27.5,140.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,815,250,2000,140.35,1210,1197,50.0,20.22,777.09,759,20.0,640,425,540,22.0,166.0
